date,EPA_PM2.5,EPA_PM10,EPA_NO2,Monitor35_PM2.5,Monitor35_PM10,Monitor35_NO2,Monitor36_PM2.5,Monitor36_PM10,Monitor36_NO2
2023-05-04T00:00:00+0000,7.98,15.31,7.65,31.33333333,33,19.64865682,3.666666667,3.666666667,14.75937709
2023-05-04T01:00:00+0000,9.52,16.58,6.14,34.33333333,42,19.69473487,6,6,14.46699066
2023-05-04T02:00:00+0000,10.87,17.75,5.62,43,47.66666667,19.99029499,8.333333333,8.333333333,14.66653127
2023-05-04T03:00:00+0000,12.68,21.58,7.79,34,38,20.30774815,11,11,15.08548977
2023-05-04T04:00:00+0000,11.77,20.39,14.32,36.66666667,39.66666667,20.61170094,10.66666667,10.66666667,15.66802246
2023-05-04T05:00:00+0000,11.45,20.68,26.17,41.33333333,43,20.44852627,9.5,9.5,16.30565481
2023-05-04T06:00:00+0000,13.63,30.99,59.63,40.66666667,43.33333333,21.87644182,9,9,19.98478221
2023-05-04T07:00:00+0000,15.74,49.16,55.66,53.66666667,56,21.30982424,10,10,19.58265259
2023-05-04T08:00:00+0000,14.52,36.01,45.24,50.66666667,57,20.79499074,8.666666667,8.666666667,19.19776588
2023-05-04T09:00:00+0000,17.28,40.66,37.9,40,48.66666667,20.75075185,10,10,19.02240669
2023-05-04T10:00:00+0000,22.66,50.1,40.34,50,55.66666667,20.08940297,16.66666667,16.66666667,18.66490859
2023-05-04T11:00:00+0000,23.59,56,31.03,35,42.33333333,20.11418899,19.66666667,19.66666667,18.19683422
2023-05-04T12:00:00+0000,24.13,54.49,40.84,50.5,57.5,20.64167883,19,19,18.54498588
2023-05-04T13:00:00+0000,25.97,68.67,33.3,44.66666667,52.33333333,20.21952463,19.33333333,19.33333333,18.40788954
2023-05-04T14:00:00+0000,27.15,70.21,39.18,26.66666667,34,19.30892157,21.33333333,21.33333333,17.55098803
2023-05-04T15:00:00+0000,28.09,68.3,51.03,26.66666667,35.33333333,19.40380447,20.66666667,21.66666667,17.32805764
2023-05-04T16:00:00+0000,27.91,62.12,33.69,90,100,19.81499563,20.33333333,20.66666667,17.93630718
2023-05-04T17:00:00+0000,26.16,55.97,37.95,36.66666667,44.66666667,20.50296846,18.66666667,18.66666667,18.34553541
2023-05-04T18:00:00+0000,23.76,44.14,33.28,34.33333333,38.66666667,21.25644061,15.66666667,15.66666667,18.94761259
2023-05-04T19:00:00+0000,20.46,33.77,58.42,38,40,20.91856547,18.66666667,18.66666667,19.27560327
2023-05-04T20:00:00+0000,18.72,29.07,70.37,28.66666667,33.33333333,20.22977399,16.5,16.5,19.15939782
2023-05-04T21:00:00+0000,20.18,36.87,53.51,37,43,20.0039918,13.66666667,13.66666667,19.17772169
2023-05-04T22:00:00+0000,18.74,30.03,45.21,34.33333333,38.66666667,20.09241827,16.66666667,16.66666667,19.37690987
2023-05-04T23:00:00+0000,11.04,15.86,9.11,34,37,19.82730822,13,13,19.24508561
2023-05-05T00:00:00+0000,5.87,10.13,5.46,24.66666667,26.66666667,19.58145137,1.333333333,1.333333333,19.28900325
2023-05-05T01:00:00+0000,4.66,8.66,4.6,21.66666667,25,19.36475141,0,0,19.36967917
2023-05-05T02:00:00+0000,0.73,1.88,5.88,18.66666667,22,18.62537794,0,0,19.07977788
2023-05-05T03:00:00+0000,0.41,0.79,5.05,14.33333333,14.33333333,19.24864724,0,0,18.96133107
2023-05-05T04:00:00+0000,0.76,1.55,5.97,30.33333333,34.33333333,19.75865973,0,0,19.06108683
2023-05-05T05:00:00+0000,0.97,1.71,5,19.66666667,20,19.76265686,0,0,19.2358631
2023-05-05T06:00:00+0000,1.21,3.69,12.29,23.33333333,25.66666667,18.58170357,0,0,17.42144356
2023-05-05T07:00:00+0000,1.72,5.24,28.31,21.5,26.5,18.2094173,0,0,16.61374799
2023-05-05T08:00:00+0000,2.44,9.49,36.96,14,15.33333333,15.02260222,0,0,14.02715765
2023-05-05T09:00:00+0000,3.75,16.33,15.91,24.66666667,27.33333333,15.08074389,0,0,12.30367968
2023-05-05T10:00:00+0000,3.08,8.17,9.17,41,51.33333333,15.20395983,0,2.5,10.93084847
2023-05-05T11:00:00+0000,3.4,9.71,10.09,76.66666667,80.33333333,15.75174321,0,4.666666667,10.09281693
2023-05-05T12:00:00+0000,11.61,51.35,21.66,25,30,17.74147472,2,4.666666667,11.15894329
2023-05-05T13:00:00+0000,13.08,48.93,19.52,36.33333333,45.33333333,17.98296569,1.666666667,1.666666667,11.77437991
2023-05-05T14:00:00+0000,14.34,53.09,23.17,32.33333333,41.33333333,17.58783526,2.333333333,3.333333333,10.80503096
2023-05-05T15:00:00+0000,13.22,46.28,22.49,28,36,17.03555432,3,3.333333333,11.79172161
2023-05-05T16:00:00+0000,6.29,19.74,16.06,31,39,15.64915776,0.333333333,2,9.936262593
2023-05-05T17:00:00+0000,4.1,11.37,10.07,33.33333333,38,15.11275053,1,4.666666667,8.932755141
2023-05-05T18:00:00+0000,3.65,7.38,8.36,22.33333333,24.33333333,15.53245277,0.666666667,5.333333333,8.964318845
2023-05-05T19:00:00+0000,3.49,6.3,6.68,46.33333333,50,17.17885523,0.333333333,6.333333333,10.35649183
2023-05-05T20:00:00+0000,3.87,6.32,6.69,31.66666667,34,18.34001407,0.666666667,4.666666667,12.53051498
2023-05-05T21:00:00+0000,4.61,9.3,13.45,37,39,18.99518724,0.666666667,2,15.00422125
2023-05-05T22:00:00+0000,5.48,10.65,16.98,37,41,19.26174775,0,0,16.63086817
2023-05-05T23:00:00+0000,5.8,10.37,26.49,47,50,18.9993033,0,0,17.1049125
2023-05-06T00:00:00+0000,5.1,9.82,11.98,50,52,18.79374447,0,0,17.45269859
2023-05-06T01:00:00+0000,4.11,7.59,9.31,40.33333333,44.33333333,18.67432202,0,0,17.87051141
2023-05-06T02:00:00+0000,4.66,9.44,14.3,38.66666667,41.66666667,18.64908708,0,0,18.28657139
2023-05-06T03:00:00+0000,4.95,9.13,18.32,39,39.33333333,18.38804885,0,0,18.27643693
2023-05-06T04:00:00+0000,4.52,7.59,4.17,38.33333333,45.33333333,18.25284299,0,0,18.03114044
2023-05-06T05:00:00+0000,4.76,8.8,9.57,46.33333333,50.66666667,18.60807459,0,0,18.24281486
2023-05-06T06:00:00+0000,5.9,13.63,13.37,37.66666667,44.33333333,15.8802313,0,0,16.56864194
2023-05-06T07:00:00+0000,7.51,17.68,10.2,36,46,15.32290624,0,0,15.93460505
2023-05-06T08:00:00+0000,6.26,14.29,12.6,24.66666667,29.66666667,15.27759156,0,0,15.36296734
2023-05-06T09:00:00+0000,7.14,18.95,17.37,29.66666667,38.66666667,15.16903364,0,0,14.4557453
2023-05-06T10:00:00+0000,8.35,17.64,15.59,37,45.5,16.38750727,0.666666667,0.666666667,14.73310265
2023-05-06T11:00:00+0000,8.66,15.35,16.26,31.33333333,40.66666667,15.89273,1.333333333,1.333333333,14.41532948
2023-05-06T12:00:00+0000,5.75,11.85,12.88,23.33333333,29.66666667,15.69197943,0,0,14.07030239
2023-05-06T13:00:00+0000,5.68,10.05,10.19,29.66666667,37.66666667,15.73512116,0.333333333,0.333333333,13.59538826
2023-05-06T14:00:00+0000,6.82,12.43,11.16,34,46.33333333,15.96855738,1,1,13.04092522
2023-05-06T15:00:00+0000,7.18,12.84,11.22,27.33333333,33.33333333,15.13907605,1.666666667,1.666666667,13.04332968
2023-05-06T16:00:00+0000,6.17,10.22,7.67,28.33333333,35.33333333,16.17988743,1.333333333,1.333333333,13.57471458
2023-05-06T17:00:00+0000,7.02,12.14,9.07,32.66666667,38.66666667,16.41094427,1.333333333,1.333333333,13.62183198
2023-05-06T18:00:00+0000,7.79,12,12,32,39.66666667,16.9471855,0.666666667,0.666666667,14.63634188
2023-05-06T19:00:00+0000,9.21,13.35,16.02,40.5,41,16.61019861,0,0,14.642397
2023-05-06T20:00:00+0000,10.45,15.21,22.74,40.33333333,42,16.12043076,1.333333333,1.333333333,14.62750048
2023-05-06T21:00:00+0000,9.29,11.35,19.91,36.66666667,45,15.69479475,4.333333333,4.333333333,14.52006866
2023-05-06T22:00:00+0000,8.88,13.37,33.49,42.66666667,45.66666667,17.08103962,0.666666667,0.666666667,15.81370277
2023-05-06T23:00:00+0000,7.68,11.65,31.48,45,49.66666667,16.50794825,0.666666667,0.666666667,15.77775072
2023-05-07T00:00:00+0000,5.08,7.16,10.05,51,61,15.44253086,0,0,14.8059441
2023-05-07T01:00:00+0000,5.59,7.71,9.43,48.66666667,57.66666667,15.9608413,0,0,14.82756124
2023-05-07T02:00:00+0000,4.53,6.32,5.61,38.66666667,44,16.00350125,0,0,14.80872744
2023-05-07T03:00:00+0000,3.65,5.23,6.81,18.33333333,20.66666667,16.34373978,0,0,15.15223054
2023-05-07T04:00:00+0000,3.68,5.64,11.31,43.5,46,17.09187585,0,0,15.75957161
2023-05-07T05:00:00+0000,4.18,7.63,14.91,52.66666667,58.66666667,16.90410563,0,0,15.94566226
2023-05-07T06:00:00+0000,4.37,10.61,22.54,66.66666667,79.33333333,13.8773214,0,0,14.68899487
2023-05-07T07:00:00+0000,4.09,8.8,15.58,53.33333333,67.66666667,10.57279178,0,0,13.5902271
2023-05-07T08:00:00+0000,3.41,6.93,9.44,2,3.333333333,11.12269238,0,0,12.94377403
2023-05-07T09:00:00+0000,6.86,23.99,23.45,7.333333333,9.666666667,8.65289118,2,2.666666667,12.35121121
2023-05-07T10:00:00+0000,5.03,15.27,9.6,0,6,12.70862631,1,4,11.98649617
2023-05-07T11:00:00+0000,5.15,15.15,7.33,32.66666667,36,14.68411018,1,5.666666667,11.60171478
2023-05-07T12:00:00+0000,10.69,51.43,12.38,9.333333333,13.33333333,16.61453079,5.333333333,8.333333333,11.03419283
2023-05-07T13:00:00+0000,5.6,15.05,9.95,0,4,14.59156002,1.666666667,5.333333333,10.69024089
2023-05-07T14:00:00+0000,3.35,6.74,10.46,12.33333333,16.33333333,15.39626039,0.666666667,7,10.70657088
2023-05-07T15:00:00+0000,3.08,5.86,11.05,68.33333333,68.33333333,14.66351536,1,7.333333333,9.650354087
2023-05-07T16:00:00+0000,6.33,12.38,7.94,50,58.33333333,18.65435884,2,5.5,11.96517406
2023-05-07T17:00:00+0000,3.63,6.56,11.2,39,45.33333333,16.87597411,0.666666667,5.333333333,11.86066824
2023-05-07T18:00:00+0000,7.37,16.38,8.51,39.66666667,50,19.91587973,2.333333333,2.666666667,13.58619717
2023-05-07T19:00:00+0000,4.18,8.24,6.72,16,17,17.25489598,1,1,13.21237831
2023-05-07T20:00:00+0000,3.79,6.73,6.35,20.33333333,22.33333333,17.17830341,1.333333333,1.666666667,13.76192884
2023-05-07T21:00:00+0000,3.57,6.24,4.91,37.33333333,43.33333333,16.3919246,0,0,13.9956944
2023-05-07T22:00:00+0000,3.83,7.22,5.25,30,38,17.1751176,0,0,14.59080284
2023-05-07T23:00:00+0000,4.14,6.99,5.24,23.33333333,27.33333333,16.95652864,0,0,14.83767891
2023-05-08T00:00:00+0000,1.97,5.31,2.52,24.66666667,30.66666667,15.26689984,0,0,14.79250667
2023-05-08T01:00:00+0000,1.56,5.7,3.64,39.33333333,47.33333333,14.16045484,0,0,14.960848
2023-05-08T02:00:00+0000,2.57,9.26,4.15,34.33333333,40,14.07638434,0,0,15.12394917
2023-05-08T03:00:00+0000,2.57,9.33,2.22,37,40.33333333,14.16036575,0,0,15.44596337
2023-05-08T04:00:00+0000,2.86,9.5,4.61,33,36.33333333,13.11290804,0,0,15.78734502
2023-05-08T05:00:00+0000,1.1,3.37,8.1,34,105,11.62388855,0,0,16.44342062
2023-05-08T06:00:00+0000,1.85,5.39,11.82,19,29.5,14.90706032,0,0,18.41646358
2023-05-08T07:00:00+0000,0.54,1.68,15.18,10.66666667,13.33333333,14.47363157,0,0,18.48105509
2023-05-08T08:00:00+0000,0.55,2.35,13.41,13.66666667,18,13.81310771,0,0,18.29210498
2023-05-08T09:00:00+0000,0.88,3.19,8.29,23,26.33333333,14.57570968,0,0,17.89933883
2023-05-08T10:00:00+0000,1.39,5.31,7.91,20,25,14.23169487,0,0,16.87977467
2023-05-08T11:00:00+0000,2.17,7,13.18,18.33333333,25,15.04501846,0,0,16.6426424
2023-05-08T12:00:00+0000,2.37,6.45,14.45,10.66666667,12,14.84344315,0,0,16.20152241
2023-05-08T13:00:00+0000,2.88,8.5,14.17,33.66666667,35,13.52857232,0,4.666666667,15.16992139
2023-05-08T14:00:00+0000,2.72,8.27,9.4,107,107,15.53265993,0,6.333333333,14.40603064
2023-05-08T15:00:00+0000,3.16,10.02,10.95,35,37.33333333,15.30936146,0,6.333333333,13.68572659
2023-05-08T16:00:00+0000,3.26,9.15,9.82,17,21.5,15.54006722,0,6.333333333,13.29658928
2023-05-08T17:00:00+0000,3.01,6.95,8.91,52.33333333,54.33333333,16.74105841,0,5,13.60882382
2023-05-08T18:00:00+0000,2.8,4.79,8.49,31,33.66666667,16.9728571,0,4,13.92593402
2023-05-08T19:00:00+0000,3.47,6.66,12.19,18.66666667,22.33333333,20.64307869,0.333333333,1.666666667,16.34105976
2023-05-08T20:00:00+0000,2.32,3.5,13.2,27.33333333,32.33333333,19.5430924,0,0,17.20231153
2023-05-08T21:00:00+0000,3.47,5.79,16.93,32,43.33333333,18.41800526,0,0,17.50247424
2023-05-08T22:00:00+0000,4.64,8.2,18.58,38.66666667,41,17.72421909,0,0,17.95937879
2023-05-08T23:00:00+0000,6.49,10.06,13.25,31.33333333,36.33333333,17.34683772,0,0,18.45983151
2023-05-09T00:00:00+0000,9.11,13.59,8.63,26.5,28.5,17.85341946,0,0,18.96459508
2023-05-09T01:00:00+0000,9.07,14.52,8.34,39,46.66666667,17.79492312,0,0,19.2029979
2023-05-09T02:00:00+0000,9.03,14.51,6.69,40,47.33333333,17.74227264,0,0,19.38896386
2023-05-09T03:00:00+0000,9.29,15.39,3.13,29.33333333,36.33333333,18.08179017,0,0,19.48619052
2023-05-09T04:00:00+0000,8.78,14.8,5.85,58,66,18.40482858,0,0,19.50383582
2023-05-09T05:00:00+0000,8.22,14.01,7.84,43,50.33333333,18.41949164,0,0,19.46850646
2023-05-09T06:00:00+0000,8.6,14.94,15.88,40.66666667,49.66666667,18.93801301,0,0,19.78812727
2023-05-09T07:00:00+0000,9.55,17.21,16.07,17,20.33333333,18.39641903,0,0,19.81670754
2023-05-09T08:00:00+0000,9.97,19.91,30.21,13.33333333,14.66666667,16.7857215,1,1,19.17894232
2023-05-09T09:00:00+0000,9.42,18.15,16.59,10,10,16.36143903,2.333333333,3.333333333,18.63961647
2023-05-09T10:00:00+0000,8.71,22.84,17.76,18.66666667,21.33333333,15.97811372,1,5,17.85036265
2023-05-09T11:00:00+0000,8.7,24.57,16.92,139.6666667,142.3333333,17.03238929,1,7.333333333,17.38315291
2023-05-09T12:00:00+0000,12.45,38.87,26.58,34.66666667,38,17.49519169,5.666666667,6.666666667,16.79257949
2023-05-09T13:00:00+0000,12.41,37.81,26.4,30.33333333,36.66666667,18.83983395,3.333333333,3.333333333,17.36198335
2023-05-09T14:00:00+0000,12.15,39.43,30.17,32.66666667,36,17.84953191,2.666666667,5,16.70209591
2023-05-09T15:00:00+0000,10.57,30.62,28.39,26,31.66666667,18.14275863,2.333333333,5,16.89292733
2023-05-09T16:00:00+0000,3.9,7.91,16.79,22.33333333,28.33333333,17.61775341,0.666666667,1.333333333,16.85899841
2023-05-09T17:00:00+0000,4.48,10.53,18.27,8.666666667,12,16.83275332,0.666666667,6.333333333,16.0510125
2023-05-09T18:00:00+0000,2.89,4.5,16.36,14.66666667,19,19.48101516,0,0,18.54644714
2023-05-09T19:00:00+0000,2.64,4.65,13.38,15.5,19,18.13168071,0,0.333333333,17.95489281
2023-05-09T20:00:00+0000,3.57,6.73,11.18,4.333333333,5.666666667,18.67404625,0.333333333,2,18.29921111
2023-05-09T21:00:00+0000,4.79,9.71,20.42,7,7.666666667,19.34868162,1.333333333,1.666666667,18.94518963
2023-05-09T22:00:00+0000,4.68,9.11,16.51,19.33333333,21,19.65383945,0,0,19.43504341
2023-05-09T23:00:00+0000,4.17,7.75,9.71,23,25.66666667,19.4943433,0,0,19.57053324
2023-05-10T00:00:00+0000,3.94,6.61,4.58,29.33333333,35,19.44519847,0,0,19.61121853
2023-05-10T01:00:00+0000,3.26,5.02,3.66,27.33333333,34.66666667,19.41486094,0,0,19.50143119
2023-05-10T02:00:00+0000,2.7,4.23,2.72,28.66666667,35,19.48997188,0,0,19.52089652
2023-05-10T03:00:00+0000,2.54,4.12,2.51,29.33333333,33.33333333,19.52960587,0,0,19.59279671
2023-05-10T04:00:00+0000,2.71,4.52,2.78,26.5,30,19.55004,0,0,19.74543587
2023-05-10T05:00:00+0000,2.52,4.25,3.51,45.66666667,54,19.75596716,0,0,19.95747129
2023-05-10T06:00:00+0000,2.38,4.66,7.61,35,41.33333333,17.150646,0,0,17.35501992
2023-05-10T07:00:00+0000,2.3,5.53,14.26,24,28,16.227452,0,0,17.33944744
2023-05-10T08:00:00+0000,2.42,7.48,16.74,25.66666667,30.33333333,15.49132024,0,0,17.28969096
2023-05-10T09:00:00+0000,1.79,6.09,15.23,35.33333333,41.66666667,15.2894026,0,0,17.18950485
2023-05-10T10:00:00+0000,1.72,5.2,11.65,24.66666667,28.33333333,14.79145934,0,0,17.10985716
2023-05-10T11:00:00+0000,1.6,5.6,10.94,28.66666667,36.33333333,14.33977245,0,1.333333333,16.9800453
2023-05-10T12:00:00+0000,1.86,8.8,10,21.5,26,16.84508385,0,2,17.13625923
2023-05-10T13:00:00+0000,2.03,8.14,11.59,43,56.33333333,17.69940194,0,1,16.84725275
2023-05-10T14:00:00+0000,1.86,6.23,13.15,33.33333333,39,16.28606382,0,1.5,16.3046891
2023-05-10T15:00:00+0000,2.79,13.17,8.71,40,43.33333333,15.28467681,0,3.666666667,16.13732156
2023-05-10T16:00:00+0000,1.89,6.24,10.92,33,40.66666667,16.80242282,0,4.333333333,16.38274898
2023-05-10T17:00:00+0000,2.18,5.94,8.45,13,14,16.16477162,0,2.333333333,15.0752824
2023-05-10T18:00:00+0000,2.82,7.55,9.55,24,26.66666667,17.4215958,0,3.333333333,16.28400626
2023-05-10T19:00:00+0000,1.78,4.4,7.99,28,34,20.11627527,0,1.333333333,17.46380383
2023-05-10T20:00:00+0000,2.53,4.43,9.96,27.33333333,29.33333333,18.45445961,0,0,17.62357841
2023-05-10T21:00:00+0000,2.8,4.72,8.73,27,31,18.33297832,0,0,17.82516782
2023-05-10T22:00:00+0000,4.33,8.37,8.87,42.5,50.5,17.77319024,0,0,17.41178193
2023-05-10T23:00:00+0000,4.12,7.75,6.69,27,32,17.81541142,0,0,17.23394098
2023-05-11T00:00:00+0000,2.85,4.92,4.49,23.33333333,27,18.08211864,0,0,17.35525476
2023-05-11T01:00:00+0000,2.8,4.7,4.11,32,36.33333333,18.25818741,0,0,17.48057908
2023-05-11T02:00:00+0000,2.97,4.64,3.97,31,34.66666667,18.5038665,0,0,17.66840765
2023-05-11T03:00:00+0000,3.58,6.63,3.45,36.33333333,41.33333333,18.43442147,0,0,18.20955862
2023-05-11T04:00:00+0000,4,7.12,3.63,34.33333333,41.33333333,17.529762,0,0,18.20043919
2023-05-11T05:00:00+0000,4,7.19,4.66,34,40.33333333,16.79919323,0,0,18.07201892
2023-05-11T06:00:00+0000,5.07,9.81,9.8,18.33333333,20,13.63282957,0,0,13.76010362
2023-05-11T07:00:00+0000,5.5,11.25,21.07,30,34,13.32404733,0,0,13.6286984
2023-05-11T08:00:00+0000,5.09,9.59,17.1,26.66666667,31.66666667,13.17909804,0,0,13.47039326
2023-05-11T09:00:00+0000,3.9,8.14,14.97,16.66666667,20,11.85729175,0,0,13.06675832
2023-05-11T10:00:00+0000,2.86,6.39,12.66,11,13.66666667,12.69927205,0,0,12.66977011
2023-05-11T11:00:00+0000,2.63,6.07,14.19,33,40,12.79698757,0,0,12.75367257
2023-05-11T12:00:00+0000,2.34,4.99,19.08,17,21.33333333,13.39562301,0,0,12.58311484
2023-05-11T13:00:00+0000,2.72,5.85,36.39,64.33333333,77,13.44482585,0,0,13.02965732
2023-05-11T14:00:00+0000,3.67,11.27,42.14,50.33333333,60,13.72090678,0,0,13.23664682
2023-05-11T15:00:00+0000,2.13,5.48,29.91,25.33333333,30.33333333,12.55009079,0,0,12.80875234
2023-05-11T16:00:00+0000,3.35,7.28,40.8,0,0,11.02704039,5.666666667,10.33333333,11.49939951
2023-05-11T17:00:00+0000,3.11,9.23,32.61,7,8,11.75147685,0.333333333,5.333333333,11.6895891
2023-05-11T18:00:00+0000,3.18,7.87,30.25,38.33333333,40.66666667,13.60727676,0.5,1,12.63178019
2023-05-11T19:00:00+0000,3.8,6.92,17.15,29.66666667,38.66666667,13.74243445,0,0.333333333,13.08770949
2023-05-11T20:00:00+0000,4.23,6,17.55,27.33333333,34.33333333,13.97675172,0,0,13.31401317
2023-05-11T21:00:00+0000,4.22,6.87,13.5,42.66666667,46,13.81563831,0,0,13.44738657
2023-05-11T22:00:00+0000,4.46,6.77,31.72,47.66666667,51.66666667,13.97441663,0,0,13.64522316
2023-05-11T23:00:00+0000,4.69,7,28.42,43.66666667,48.33333333,14.00944579,0,0,13.81513397
2023-05-12T00:00:00+0000,5.26,8.66,32.44,52.33333333,56.66666667,13.90835786,0,0,13.89481866
2023-05-12T01:00:00+0000,5.95,9.11,26.27,32,43,13.7752431,2,2,13.95192831
2023-05-12T02:00:00+0000,7.68,10.45,29.96,47.5,71,13.7911689,5,5,14.02336157
2023-05-12T03:00:00+0000,5.71,8.27,27.42,50.33333333,65,13.75840664,0.666666667,0.666666667,14.10771145
2023-05-12T04:00:00+0000,5.02,7.2,19.35,34.66666667,53,13.80262456,0,0,14.14890784
2023-05-12T05:00:00+0000,5.07,8.07,25.84,44.66666667,61,13.82545193,0,0,13.04899123
2023-05-12T06:00:00+0000,5.25,8.7,34.24,33.33333333,42.33333333,10.92303317,0,0,6.826369679
2023-05-12T07:00:00+0000,5.81,12.33,38.14,38,59,13.02334286,0,0,5.702921581
2023-05-12T08:00:00+0000,6.41,17.47,42.61,22.33333333,34.33333333,14.7219886,0,0,4.535700236
2023-05-12T09:00:00+0000,5.85,14.97,31.54,8.666666667,11,12.89732479,0.333333333,0.333333333,2.347244202
2023-05-12T10:00:00+0000,6.16,15.46,30.43,29,39,7.759746043,1.333333333,1.333333333,2.54712656
2023-05-12T11:00:00+0000,5.66,14.73,28.37,15,21.5,8.497223769,0.333333333,0.333333333,3.458726809
2023-05-12T12:00:00+0000,5.98,15.39,28.4,13.33333333,19,11.69294407,2,3,4.617902119
2023-05-12T13:00:00+0000,5.79,15.94,28.2,8.666666667,14,11.0858945,3.666666667,7,2.569884282
2023-05-12T14:00:00+0000,5.78,15.06,30.29,9.333333333,12,11.13083628,5,7.666666667,3.918751783
2023-05-12T15:00:00+0000,6.04,17.48,24.96,3,5.666666667,11.66124589,3.666666667,9.666666667,3.648376707
2023-05-12T16:00:00+0000,4.56,11.23,19.55,0,3.333333333,11.74119628,1.333333333,7.666666667,3.671593361
2023-05-12T17:00:00+0000,4.35,10.39,24.43,0.666666667,4.666666667,12.30330497,3.333333333,7.666666667,5.198877797
2023-05-12T18:00:00+0000,4.69,9.7,28.44,38.66666667,48,7.770547386,2.333333333,5.333333333,4.999183475
2023-05-12T19:00:00+0000,4.26,7.48,26.41,48.5,59.5,7.28213234,1.333333333,1.333333333,7.552071245
2023-05-12T20:00:00+0000,5.33,11.94,41.07,64.66666667,71.33333333,7.655906036,1.333333333,1.333333333,7.42177118
2023-05-12T21:00:00+0000,5.4,13.93,28.74,57.33333333,59.33333333,7.391777657,0.666666667,0.666666667,7.126963278
2023-05-12T22:00:00+0000,4.76,8.56,24.66,49.66666667,51.33333333,7.956288293,0,0,7.409175682
2023-05-12T23:00:00+0000,4.58,7.34,21.11,51.33333333,53.33333333,7.940549573,0,0,7.341609669
2023-05-13T00:00:00+0000,6.21,10.12,34.18,51,52,8.121161511,2,2,7.211159121
2023-05-13T01:00:00+0000,8.49,15.47,38.02,46,49.66666667,8.517952968,5,5,7.459162424
2023-05-13T02:00:00+0000,8.95,11.61,35.28,48.66666667,60.66666667,9.064431376,6.666666667,6.666666667,7.562384704
2023-05-13T03:00:00+0000,9.47,13.27,35.02,42.33333333,51,8.822229851,7.333333333,7.333333333,6.9378065
2023-05-13T04:00:00+0000,8.7,12.13,29.74,41,44.66666667,8.504793668,9,9,6.659536625
2023-05-13T05:00:00+0000,7.19,8,20.18,36.33333333,39.33333333,10.34550993,6.666666667,6.666666667,6.744548431
2023-05-13T06:00:00+0000,7.65,9.45,28.49,38.5,43.5,8.820691219,7,7,7.168673888
2023-05-13T07:00:00+0000,4.53,6.1,19.06,50.66666667,59.66666667,8.722190495,0.666666667,0.666666667,6.802058532
2023-05-13T08:00:00+0000,5.29,8.55,27.38,47.33333333,60.66666667,9.298384974,1.333333333,1.333333333,6.337525855
2023-05-13T09:00:00+0000,5.62,7.52,28.96,40.33333333,76.66666667,9.452550731,1.333333333,1.333333333,6.232740225
2023-05-13T10:00:00+0000,6.14,8.81,24.89,22.33333333,68.66666667,9.426791905,4.333333333,4.333333333,6.290936829
2023-05-13T11:00:00+0000,6.6,10.9,37.79,1.333333333,1.333333333,10.51594496,5,5,6.507415149
2023-05-13T12:00:00+0000,9.1,13.3,25.78,7.666666667,8,8.583832818,7.333333333,7.333333333,5.591553171
2023-05-13T13:00:00+0000,9.29,12.11,16.51,0.666666667,3,9.586002099,13,13,6.943077682
2023-05-13T14:00:00+0000,11.51,14.73,18.13,18,23.5,7.961312267,15,15,5.861013605
